dataset,test_index,source_filename,preview_jpg,sr_style_lr_up_geotiff,sr_style_hr_geotiff,decode_styles,sampling_seed,sampling_mode,uncertainty_guidance,generation_pipeline,crop_mode,lr_crop_size,hr_crop_size
OLI2MSI,0,L8_126038_20190923_S2B_20190923_T49RCQ_N0071.TIF,oli2msi/test_img_000_uncertainty_guided_preview.jpg,oli2msi/test_img_000_uncertainty_guided_sr_style-lr_up.tif,oli2msi/test_img_000_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,128,384
OLI2MSI,1,L8_126038_20190923_S2B_20190923_T49RCQ_N0108.TIF,oli2msi/test_img_001_uncertainty_guided_preview.jpg,oli2msi/test_img_001_uncertainty_guided_sr_style-lr_up.tif,oli2msi/test_img_001_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,128,384
OLI2MSI,2,L8_126038_20190923_S2B_20190923_T49RCQ_N0126.TIF,oli2msi/test_img_002_uncertainty_guided_preview.jpg,oli2msi/test_img_002_uncertainty_guided_sr_style-lr_up.tif,oli2msi/test_img_002_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,128,384
OLI2MSI,3,L8_126038_20190923_S2B_20190923_T49RCQ_N0145.TIF,oli2msi/test_img_003_uncertainty_guided_preview.jpg,oli2msi/test_img_003_uncertainty_guided_sr_style-lr_up.tif,oli2msi/test_img_003_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,128,384
OLI2MSI,4,L8_126038_20190923_S2B_20190923_T49RDQ_N0024.TIF,oli2msi/test_img_004_uncertainty_guided_preview.jpg,oli2msi/test_img_004_uncertainty_guided_sr_style-lr_up.tif,oli2msi/test_img_004_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,128,384
OLI2MSI,5,L8_126038_20190923_S2B_20190923_T49RDQ_N0028.TIF,oli2msi/test_img_005_uncertainty_guided_preview.jpg,oli2msi/test_img_005_uncertainty_guided_sr_style-lr_up.tif,oli2msi/test_img_005_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,128,384
OLI2MSI,6,L8_126038_20190923_S2B_20190923_T49RDQ_N0048.TIF,oli2msi/test_img_006_uncertainty_guided_preview.jpg,oli2msi/test_img_006_uncertainty_guided_sr_style-lr_up.tif,oli2msi/test_img_006_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,128,384
OLI2MSI,7,L8_126038_20190923_S2B_20190923_T49RDQ_N0066.TIF,oli2msi/test_img_007_uncertainty_guided_preview.jpg,oli2msi/test_img_007_uncertainty_guided_sr_style-lr_up.tif,oli2msi/test_img_007_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,128,384
SEN2NAIP,0,ROI_0026.tif,sen2naip/test_img_000_uncertainty_guided_preview.jpg,sen2naip/test_img_000_uncertainty_guided_sr_style-lr_up.tif,sen2naip/test_img_000_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,96,384
SEN2NAIP,1,ROI_0047.tif,sen2naip/test_img_001_uncertainty_guided_preview.jpg,sen2naip/test_img_001_uncertainty_guided_sr_style-lr_up.tif,sen2naip/test_img_001_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,96,384
SEN2NAIP,2,ROI_0102.tif,sen2naip/test_img_002_uncertainty_guided_preview.jpg,sen2naip/test_img_002_uncertainty_guided_sr_style-lr_up.tif,sen2naip/test_img_002_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,96,384
SEN2NAIP,3,ROI_0108.tif,sen2naip/test_img_003_uncertainty_guided_preview.jpg,sen2naip/test_img_003_uncertainty_guided_sr_style-lr_up.tif,sen2naip/test_img_003_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,96,384
